Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0108550,10,2025-12-14,"What's Eating Gilbert Grape","What's Eating Gilbert Grape",https://www.imdb.com/title/tt0108550,Movie,7.7,118,1993,"Drama",266311,"1994-03-04","Lasse Hallström"
tt0101540,9,2025-12-14,"Cape Fear","Cape Fear",https://www.imdb.com/title/tt0101540,Movie,7.3,128,1991,"Drama, Crime, Thriller",237812,"1991-11-15","Martin Scorsese"
tt0103064,9,2025-12-14,"Terminator 2: Judgment Day","Terminator 2: Judgment Day",https://www.imdb.com/title/tt0103064,Movie,8.6,137,1991,"Adventure, Sci-Fi, Action",1264774,"1991-07-03","James Cameron"
tt0088247,8,2025-12-14,"The Terminator","The Terminator",https://www.imdb.com/title/tt0088247,Movie,8.1,107,1984,"Action, Adventure, Sci-Fi",987426,"1984-10-26","James Cameron"
tt0086879,9,2025-12-14,"Amadeus","Amadeus",https://www.imdb.com/title/tt0086879,Movie,8.4,160,1984,"Drama, Music, Biography",461692,"1984-09-19","Milos Forman"
tt0125439,9,2025-12-14,"Notting Hill","Notting Hill",https://www.imdb.com/title/tt0125439,Movie,7.2,124,1999,"Drama, Romance, Comedy",376406,"1999-05-28","Roger Michell"
tt0107048,8,2025-12-14,"Groundhog Day","Groundhog Day",https://www.imdb.com/title/tt0107048,Movie,8.0,101,1993,"Fantasy, Drama, Romance, Comedy",729657,"1993-02-12","Harold Ramis"
tt0105323,9,2025-12-14,"Scent of a Woman","Scent of a Woman",https://www.imdb.com/title/tt0105323,Movie,8.0,156,1992,"Drama",362181,"1993-01-08","Martin Brest"
tt0098936,8,2025-12-14,"Twin Peaks","Twin Peaks",https://www.imdb.com/title/tt0098936,TV Series,8.7,50,1990,"Thriller, Crime, Drama, Mystery",240252,"1990-04-08",
tt0112864,8,2025-12-14,"Die Hard with a Vengeance","Die Hard with a Vengeance",https://www.imdb.com/title/tt0112864,Movie,7.6,128,1995,"Adventure, Thriller, Action",426174,"1995-05-19","John McTiernan"
