Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt7653254,8,2025-12-15,"Marriage Story","Marriage Story",https://www.imdb.com/title/tt7653254,Movie,7.9,137,2019,"Drama, Romance",367166,"2019-12-06","Noah Baumbach"
tt0088258,10,2025-12-15,"This Is Spinal Tap","This Is Spinal Tap",https://www.imdb.com/title/tt0088258,Movie,7.9,82,1984,"Music, Comedy",156983,"1984-03-02","Rob Reiner"
tt0098635,9,2025-12-15,"When Harry Met Sally...","When Harry Met Sally...",https://www.imdb.com/title/tt0098635,Movie,7.7,95,1989,"Drama, Romance, Comedy",264636,"1989-07-21","Rob Reiner"
tt1226240,9,2025-12-15,"A Late Quartet","A Late Quartet",https://www.imdb.com/title/tt1226240,Movie,7.1,105,2012,"Drama, Music",15830,"2012-11-23","Yaron Zilberman"
tt0190590,9,2025-12-15,"O Brother, Where Art Thou?","O Brother, Where Art Thou?",https://www.imdb.com/title/tt0190590,Movie,7.7,107,2000,"Music, Drama, Adventure, Crime, Comedy",347634,"2001-02-02","Joel Coen,Ethan Coen"
tt0118715,10,2025-12-15,"The Big Lebowski","The Big Lebowski",https://www.imdb.com/title/tt0118715,Movie,8.1,117,1998,"Crime, Comedy",906591,"1998-03-06","Joel Coen,Ethan Coen"
tt0112384,7,2025-12-15,"Apollo 13","Apollo 13",https://www.imdb.com/title/tt0112384,Movie,7.7,140,1995,"Adventure, History, Drama",332276,"1995-06-30","Ron Howard"
tt0082198,8,2025-12-15,"Conan the Barbarian","Conan the Barbarian",https://www.imdb.com/title/tt0082198,Movie,6.9,129,1982,"Adventure, Fantasy",171679,"1982-05-14","John Milius"
tt0100802,9,2025-12-15,"Total Recall","Total Recall",https://www.imdb.com/title/tt0100802,Movie,7.5,113,1990,"Adventure, Sci-Fi, Action",376402,"1990-06-01","Paul Verhoeven"
tt0103772,8,2025-12-15,"Basic Instinct","Basic Instinct",https://www.imdb.com/title/tt0103772,Movie,7.1,127,1992,"Mystery, Drama, Romance, Thriller",239121,"1992-03-20","Paul Verhoeven"
tt0061722,8,2025-12-15,"The Graduate","The Graduate",https://www.imdb.com/title/tt0061722,Movie,8.0,106,1967,"Comedy, Romance, Drama",300504,"1967-12-21","Mike Nichols"
tt0107614,9,2025-12-15,"Mrs. Doubtfire","Mrs. Doubtfire",https://www.imdb.com/title/tt0107614,Movie,7.1,125,1993,"Family, Drama, Comedy",310599,"1993-11-24","Chris Columbus"
tt0137523,9,2025-12-15,"Fight Club","Fight Club",https://www.imdb.com/title/tt0137523,Movie,8.8,139,1999,"Drama, Crime, Thriller",2547215,"1999-10-15","David Fincher"
tt0146882,8,2025-12-15,"High Fidelity","High Fidelity",https://www.imdb.com/title/tt0146882,Movie,7.4,113,2000,"Music, Romance, Drama, Comedy",197584,"2000-03-31","Stephen Frears"
tt0119229,8,2025-12-15,"Grosse Pointe Blank","Grosse Pointe Blank",https://www.imdb.com/title/tt0119229,Movie,7.3,107,1997,"Thriller, Action, Romance, Crime, Comedy",104112,"1997-04-11","George Armitage"
tt0112697,8,2025-12-15,"Clueless","Clueless",https://www.imdb.com/title/tt0112697,Movie,6.9,97,1995,"Romance, Comedy",272631,"1995-07-19","Amy Heckerling"
tt1375666,9,2025-12-15,"Inception","Inception",https://www.imdb.com/title/tt1375666,Movie,8.8,148,2010,"Sci-Fi, Thriller, Action, Adventure",2762287,"2010-07-16","Christopher Nolan"
tt0071853,9,2025-12-15,"Monty Python and the Holy Grail","Monty Python and the Holy Grail",https://www.imdb.com/title/tt0071853,Movie,8.2,91,1975,"Adventure, Fantasy, Comedy",597469,"1975-07-18","Terry Gilliam,Terry Jones"
tt0079470,9,2025-12-15,"Monty Python's Life of Brian","Monty Python's Life of Brian",https://www.imdb.com/title/tt0079470,Movie,8.0,94,1979,"Comedy",432427,"1979-08-17","Terry Jones"
tt11564570,7,2025-12-15,"Glass Onion","Glass Onion",https://www.imdb.com/title/tt11564570,Movie,7.1,139,2022,"Crime, Thriller, Drama, Mystery, Comedy",495632,"2022-12-23","Rian Johnson"
