nconst,category,primaryName,birthYear,deathYear,num_movies,lead_roles,avg_rating,rating_stddev,total_votes,weighted_avg,movies_7plus,movies_8plus,pct_good,career_start,career_end,bayesian_rating,pct_bayesian,pct_great,pct_leads,pct_consistent,pct_popularity,composite_score
nm0000138,actor,Leonardo DiCaprio,1974,\N,35,29,7.21,0.94,19405569.0,8.0,23,9,65.7,1991,2025,6.93,0.9901781635449978,0.9901781635449978,0.936729100045683,0.9709913202375514,0.998172681589767,0.9774
nm0000093,actor,Brad Pitt,1963,\N,54,42,6.99,0.94,21375450.0,7.75,33,7,61.1,1988,2025,6.84,0.9773869346733668,0.9803563270899954,0.9778437642759251,0.9570580173595249,0.9993147555961627,0.9774
nm0000027,actor,Alec Guinness,1914,2000,43,29,7.14,0.74,4106159.0,8.45,24,7,55.8,1946,1995,6.92,0.9892645043398812,0.9803563270899954,0.936729100045683,0.9342165372316126,0.9136592051164916,0.9607
nm0352032,actor,Kamal Haasan,1954,\N,66,57,7.67,0.99,779239.0,7.76,57,31,86.4,1977,2025,7.41,0.9997715851987209,1.0,0.9949748743718593,0.9956601187756967,0.5838282320694381,0.9567
nm0000071,actor,James Stewart,1908,1997,72,63,6.98,0.67,2719773.0,8.08,34,7,47.2,1935,1991,6.86,0.9826404751027866,0.9803563270899954,0.9961169483782549,0.8730013704888077,0.8538145271813613,0.9554
nm0001536,actor,Toshirô Mifune,1920,1997,38,28,7.46,0.7,1410388.0,8.1,31,13,81.6,1948,1994,7.13,0.9968021927820923,0.9961169483782549,0.9307903152124257,0.9931475559616263,0.7181361352215624,0.955
nm0000158,actor,Tom Hanks,1956,\N,64,57,6.85,0.88,19717255.0,7.78,29,6,45.3,1980,2024,6.74,0.9518044769301051,0.9682503426222019,0.9949748743718593,0.8515303791685701,0.9984010963910461,0.9542
nm0000354,actor,Matt Damon,1970,\N,53,44,6.91,0.78,15473557.0,7.66,23,7,43.4,1992,2024,6.77,0.9611694837825491,0.9803563270899954,0.9805847418912745,0.828917313841937,0.9970306075833714,0.9536
nm0424060,actress,Scarlett Johansson,1984,\N,62,27,6.89,0.97,26103931.0,7.61,29,8,46.8,1995,2025,6.77,0.9611694837825491,0.9860666971219735,0.9250799451804477,0.8668341708542714,1.0,0.9499
nm0000129,actor,Tom Cruise,1962,\N,44,41,6.96,0.72,13334113.0,7.27,26,3,59.1,1981,2025,6.79,0.9668798538145272,0.8910461397898584,0.9755596162631338,0.9483782549109182,0.9949748743718593,0.9497
nm0839017,actor,Kemal Sunal,1944,2000,90,83,7.21,0.81,631972.0,7.91,55,18,61.1,1973,1999,7.08,0.9956601187756967,0.9986295111923252,0.9986295111923252,0.9570580173595249,0.5310644129739607,0.9447
nm0482320,actor,Mohanlal,1960,\N,106,104,7.02,1.53,595713.0,7.21,69,28,65.1,1985,2025,6.93,0.9901781635449978,0.9997715851987209,0.9995431703974418,0.9700776610324349,0.5194152581087255,0.9444
nm0413168,actor,Hugh Jackman,1968,\N,42,31,6.96,0.68,16218416.0,7.41,21,4,50.0,1999,2024,6.78,0.9643672910004568,0.9285061671996345,0.9454088624942897,0.888533576975788,0.9974874371859297,0.9435
nm0000142,actor,Clint Eastwood,1930,\N,49,49,6.88,0.78,5769350.0,7.78,22,5,44.9,1958,2021,6.74,0.9518044769301051,0.9529465509365007,0.9874371859296482,0.8451347647327547,0.951576062128826,0.9432
nm0749263,actor,Mark Ruffalo,1967,\N,45,17,6.99,0.94,19962233.0,7.87,24,9,53.3,1998,2023,6.81,0.9707629054362723,0.9901781635449978,0.8236637734125172,0.9198264047510278,0.9986295111923252,0.9413
nm0787462,actor,Naseeruddin Shah,1950,\N,67,30,7.02,0.93,915536.0,7.02,41,13,61.2,1980,2025,6.89,0.9858382823206944,0.9961169483782549,0.9410689812699863,0.9588853357697579,0.6167199634536318,0.9385
nm0000020,actor,Henry Fonda,1905,1982,58,45,6.91,0.86,2037544.0,8.35,29,5,50.0,1936,1981,6.78,0.9643672910004568,0.9529465509365007,0.9817268158976702,0.888533576975788,0.7978529008679762,0.937
