nconst,category,primaryName,birthYear,deathYear,num_movies,avg_rating,min_rating,max_rating,total_votes,films
nm0002017,actor,Richard Conte,1910,1975,1,9.2,9.2,9.2,2183055.0,"The Godfather (1972, 9.2)"
nm0144710,actor,Richard S. Castellano,1933,1988,1,9.2,9.2,9.2,2183055.0,"The Godfather (1972, 9.2)"
nm0504803,actor,Al Lettieri,1928,1975,1,9.2,9.2,9.2,2183055.0,"The Godfather (1972, 9.2)"
nm0549134,actor,John Marley,1907,1984,1,9.2,9.2,9.2,2183055.0,"The Godfather (1972, 9.2)"
nm1010931,actress,Monique Gabriela Curnen,\N,\N,1,9.1,9.1,9.1,3104589.0,"The Dark Knight (2008, 9.1)"
nm0311343,actress,Malgorzata Gebel,1955,\N,1,9.0,9.0,9.0,1560849.0,"Schindler's List (1993, 9.0)"
nm0003225,actor,Ed Begley,1901,1970,1,9.0,9.0,9.0,961438.0,"12 Angry Men (1957, 9.0)"
nm0001430,actor,Jack Klugman,1922,2012,1,9.0,9.0,9.0,961438.0,"12 Angry Men (1957, 9.0)"
nm0842137,actor,Joseph Sweeney,1884,1963,1,9.0,9.0,9.0,961438.0,"12 Angry Men (1957, 9.0)"
nm0040012,actress,Ali Astin,1996,\N,1,9.0,9.0,9.0,2125343.0,"The Lord of the Rings: The Return of the King (2003, 9.0)"
nm0311155,actor,Michael V. Gazzo,1923,1995,1,9.0,9.0,9.0,1467769.0,"The Godfather Part II (1974, 9.0)"
nm0833448,actor,Lee Strasberg,1901,1982,1,9.0,9.0,9.0,1467769.0,"The Godfather Part II (1974, 9.0)"
nm0755974,actor,Jonathan Sagall,1959,\N,1,9.0,9.0,9.0,1560849.0,"Schindler's List (1993, 9.0)"
nm0083081,actor,Edward Binns,1916,1990,1,9.0,9.0,9.0,961438.0,"12 Angry Men (1957, 9.0)"
nm0506616,actor,Shmuel Levy,1962,\N,1,9.0,9.0,9.0,1560849.0,"Schindler's List (1993, 9.0)"
nm0534151,actress,Béatrice Macola,1965,2001,1,9.0,9.0,9.0,1560849.0,"Schindler's List (1993, 9.0)"
nm0032370,actor,Noel Appleby,1933,2007,2,8.95,8.9,9.0,4287179.0,"The Lord of the Rings: The Return of the King (2003, 9.0); The Lord of the Rings: The Fellowship of the Ring (2001, 8.9)"
nm0045324,actor,John Bach,1946,\N,2,8.9,8.8,9.0,4044161.0,"The Lord of the Rings: The Return of the King (2003, 9.0); The Lord of the Rings: The Two Towers (2002, 8.8)"
nm0397102,actor,Alan Howard,1937,2015,1,8.9,8.9,8.9,2161836.0,"The Lord of the Rings: The Fellowship of the Ring (2001, 8.9)"
nm0536574,actor,George Maguire,1946,\N,1,8.8,8.8,8.8,2543645.0,"Fight Club (1999, 8.8)"
nm0522503,actress,Laura Lovelace,\N,\N,1,8.8,8.8,8.8,2390207.0,"Pulp Fiction (1994, 8.8)"
nm0824882,actor,Burr Steers,1965,\N,1,8.8,8.8,8.8,2390207.0,"Pulp Fiction (1994, 8.8)"
